PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.008219	38	0	113	
0	0	0	0.00693917	37	0	110	
0	0	0	0.00661087	35	0	104	
0	0	0	0.00626898	33	0	98	
0	0	0	0.00393391	21	0	62	
0	0	0	0.0090239	48	0	143	
0	0	0	0.00628901	31	0	92	
0	0	0	0.00256801	14	0	41	
0	0	0	0.00961113	51	0	152	
0	0	0	0.00339389	18	0	53	
0	0	0	0.004776	26	0	77	
0	0	0	0.00895095	47	0	140	
0	0	0	0.00557399	30	0	89	
0	0	0	0.0050981	27	0	80	
0	0	0	0.00711417	38	0	113	
0	0	0	0.00666499	35	0	104	
0	0	0	0.00797319	41	0	122	
0	0	0	0.00829101	44	0	131	
0	0	0	0.00812292	44	0	131	
0	0	0	0.00484395	26	0	77	
0	0	0	0.00617695	33	0	98	
0	0	0	0.00610113	33	0	98	
0	0	0	0.00554514	29	0	86	
0	0	0	0.00699592	37	0	110	
0	0	0	0.00771904	41	0	122	
0	0	0	0.00664902	36	0	107	
0	0	0	0.00606108	32	0	95	
0	0	0	0.00884795	47	0	140	
0	0	0	0.00540996	29	0	86	
0	0	0	0.00371003	20	0	59	
0	0	0	0.00862503	44	0	131	
0	0	0	0.00534701	28	0	83	
0	0	0	0.00613713	33	0	98	
0	0	0	0.00937104	50	0	149	
0	0	0	0.00336504	18	0	53	
0	0	0	0.00597191	32	0	95	
0	0	0	0.00319886	17	0	50	
0	0	0	0.00776482	40	0	119	
0	0	0	0.00594401	31	0	92	
0	0	0	0.00692701	37	0	110	
0	0	0	0.004812	26	0	77	
0	0	0	0.00768805	41	0	122	
0	0	0	0.00706196	38	0	113	
0	0	0	0.00388908	20	0	59	
0	0	0	0.00346303	18	0	53	
0	0	0	0.00664806	35	0	104	
0	0	0	0.00375295	20	0	59	
0	0	0	0.0064199	33	0	98	
0	0	0	0.0090971	49	0	146	
0	0	0	0.00915313	49	0	146	
0	0	0	0.00555396	30	0	89	
0	0	0	0.00444603	24	0	71	
0	0	0	0.00587201	31	0	92	
0	0	0	0.00514698	27	0	80	
0	0	0	0.00654197	35	0	104	
0	0	0	0.00892901	47	0	140	
0	0	0	0.00774693	42	0	125	
0	0	0	0.00356722	18	0	53	
0	0	0	0.00425196	23	0	68	
0	0	0	0.0038929	21	0	62	
0	0	0	0.00697899	37	0	110	
0	0	0	0.00315809	17	0	50	
0	0	0	0.00429201	23	0	68	
0	0	0	0.00392723	21	0	62	
0	0	0	0.00268793	14	0	41	
0	0	0	0.00282407	15	0	44	
0	0	0	0.00601411	32	0	95	
0	0	0	0.00482988	26	0	77	
0	0	0	0.013056	70	0	209	
0	0	0	0.00376916	20	0	59	
0	0	0	0.00685096	36	0	107	
0	0	0	0.00759101	41	0	122	
0	0	0	0.00751805	40	0	119	
0	0	0	0.010154	53	0	158	
0	0	0	0.00574899	30	0	89	
0	0	0	0.00543904	29	0	86	
0	0	0	0.00542808	29	0	86	
0	0	0	0.0087409	46	0	137	
0	0	0	0.00359702	19	0	56	
0	0	0	0.00926495	49	0	146	
0	0	0	0.0100679	54	0	161	
0	0	0	0.00781798	41	0	122	
0	0	0	0.00483489	26	0	77	
0	0	0	0.00424314	23	0	68	
0	0	0	0.00755811	40	0	119	
0	0	0	0.00759411	41	0	122	
0	0	0	0.00498104	26	0	77	
0	0	0	0.00668216	36	0	107	
0	0	0	0.00621915	33	0	98	
0	0	0	0.00978708	53	0	158	
0	0	0	0.0118189	63	0	188	
0	0	0	0.00841904	45	0	134	
0	0	0	0.004143	22	0	65	
0	0	0	0.00849509	45	0	134	
0	0	0	0.00723505	38	0	113	
0	0	0	0.010747	57	0	170	
0	0	0	0.00261712	14	0	41	
0	0	0	0.00777698	41	0	122	
0	0	0	0.00442815	24	0	71	
0	0	0	0.016901	89	0	266	
0	0	0	0.00704002	37	0	110	
0	0	0	0.00513887	27	0	80	
0	0	0	0.00181484	10	0	29	
0	0	0	0.00576997	31	0	92	
0	0	0	0.00803089	43	0	128	
0	0	0	0.0054009	29	0	86	
0	0	0	0.00366783	20	0	59	
0	0	0	0.00583911	31	0	92	
