PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.00158596	10	0	29	
0	0	0	0.00133395	10	0	29	
0	0	0	0.000850916	6	0	17	
0	0	0	0.00171304	13	0	38	
0	0	0	0.00173092	14	0	41	
0	0	0	0.00140405	11	0	32	
0	0	0	0.00164199	12	0	35	
0	0	0	0.00190687	15	0	44	
0	0	0	0.00166702	13	0	38	
0	0	0	0.00230312	18	0	53	
0	0	0	0.00128007	10	0	29	
0	0	0	0.00111008	9	0	26	
0	0	0	0.00154901	12	0	35	
0	0	0	0.0015049	12	0	35	
0	0	0	0.00171494	14	0	41	
0	0	0	0.00189996	15	0	44	
0	0	0	0.00168109	13	0	38	
0	0	0	0.00216484	17	0	50	
0	0	0	0.00152397	12	0	35	
0	0	0	0.000862837	7	0	20	
0	0	0	0.000766993	6	0	17	
0	0	0	0.00167298	13	0	38	
0	0	0	0.000747919	6	0	17	
0	0	0	0.000936031	7	0	20	
0	0	0	0.00220394	17	0	50	
0	0	0	0.00132513	10	0	29	
0	0	0	0.00256991	20	0	59	
0	0	0	0.000895023	7	0	20	
0	0	0	0.00308299	24	0	71	
0	0	0	0.000793219	6	0	17	
0	0	0	0.000478983	4	0	11	
0	0	0	0.00180197	14	0	41	
0	0	0	0.00207901	16	0	47	
0	0	0	0.00377107	29	0	86	
0	0	0	0.0027771	21	0	62	
0	0	0	0.0031271	24	0	71	
0	0	0	0.00219798	17	0	50	
0	0	0	0.00348902	27	0	80	
0	0	0	0.00239992	18	0	53	
0	0	0	0.00103498	8	0	23	
0	0	0	0.00308108	24	0	71	
0	0	0	0.0029459	23	0	68	
0	0	0	0.00156713	12	0	35	
0	0	0	0.00235915	18	0	53	
0	0	0	0.00194001	15	0	44	
0	0	0	0.000776052	6	0	17	
0	0	0	0.00104594	8	0	23	
0	0	0	0.000751972	6	0	17	
0	0	0	0.00061202	5	0	14	
0	0	0	0.00181007	14	0	41	
0	0	0	0.00239611	19	0	56	
0	0	0	0.00297999	23	0	68	
0	0	0	0.00127792	10	0	29	
0	0	0	0.0010221	8	0	23	
0	0	0	0.00223899	17	0	50	
0	0	0	0.00182986	14	0	41	
0	0	0	0.00170898	13	0	38	
0	0	0	0.00142193	11	0	32	
0	0	0	0.00140905	11	0	32	
0	0	0	0.00134802	11	0	32	
0	0	0	0.00142312	11	0	32	
0	0	0	0.0017941	14	0	41	
0	0	0	0.00349307	27	0	80	
0	0	0	0.00276995	21	0	62	
0	0	0	0.00113416	9	0	26	
0	0	0	0.00118995	9	0	26	
0	0	0	0.00127816	10	0	29	
0	0	0	0.000849009	7	0	20	
0	0	0	0.00155592	12	0	35	
0	0	0	0.00166082	13	0	38	
0	0	0	0.00152516	12	0	35	
0	0	0	0.00100803	8	0	23	
0	0	0	0.00184703	14	0	41	
0	0	0	0.000771999	6	0	17	
0	0	0	0.000730038	6	0	17	
0	0	0	0.000748873	6	0	17	
0	0	0	0.00216913	17	0	50	
0	0	0	0.00052309	4	0	11	
0	0	0	0.00155878	12	0	35	
0	0	0	0.000895023	7	0	20	
0	0	0	0.00181508	14	0	41	
0	0	0	0.00105	8	0	23	
0	0	0	0.00206304	16	0	47	
0	0	0	0.00144815	11	0	32	
0	0	0	0.000905991	7	0	20	
0	0	0	0.000766993	6	0	17	
0	0	0	0.00186706	14	0	41	
0	0	0	0.000883102	7	0	20	
0	0	0	0.00110793	9	0	26	
0	0	0	0.000862122	7	0	20	
0	0	0	0.00184989	14	0	41	
0	0	0	0.00103807	8	0	23	
0	0	0	0.0012629	10	0	29	
0	0	0	0.00101614	8	0	23	
0	0	0	0.00217009	17	0	50	
0	0	0	0.000762939	6	0	17	
0	0	0	0.00100493	8	0	23	
0	0	0	0.000618935	5	0	14	
0	0	0	0.00193906	15	0	44	
0	0	0	0.000894785	7	0	20	
0	0	0	0.000627041	5	0	14	
0	0	0	0.00125408	10	0	29	
0	0	0	0.00061512	5	0	14	
0	0	0	0.00222611	17	0	50	
0	0	0	0.000897884	7	0	20	
0	0	0	0.00177407	14	0	41	
0	0	0	0.00180197	14	0	41	
0	0	0	0.000895023	7	0	20	
0	0	0	0.00113106	9	0	26	
0	0	0	0.000878096	7	0	20	
0	0	0	0.00100517	8	0	23	
0	0	0	0.000751019	6	0	17	
0	0	0	0.000890017	7	0	20	
0	0	0	0.00113606	9	0	26	
0	0	0	0.000476837	4	0	11	
0	0	0	0.00149608	12	0	35	
0	0	0	0.00129199	10	0	29	
0	0	0	0.00154805	12	0	35	
0	0	0	0.00117016	9	0	26	
0	0	0	0.000608921	5	0	14	
0	0	0	0.000763178	6	0	17	
0	0	0	0.000468969	4	0	11	
0	0	0	0.00128388	10	0	29	
0	0	0	0.0010581	8	0	23	
0	0	0	0.00128007	10	0	29	
0	0	0	0.00140786	11	0	32	
0	0	0	0.00177097	14	0	41	
0	0	0	0.00102091	8	0	23	
0	0	0	0.000919104	7	0	20	
0	0	0	0.00140595	11	0	32	
0	0	0	0.00114918	9	0	26	
0	0	0	0.00118184	9	0	26	
0	0	0	0.000896931	7	0	20	
0	0	0	0.000910997	7	0	20	
0	0	0	0.00117612	9	0	26	
0	0	0	0.00114202	9	0	26	
0	0	0	0.00114417	9	0	26	
0	0	0	0.00217104	17	0	50	
0	0	0	0.000880003	7	0	20	
0	0	0	0.00301814	23	0	68	
0	0	0	0.000638008	5	0	14	
0	0	0	0.0021739	17	0	50	
0	0	0	0.00102401	8	0	23	
0	0	0	0.00130486	10	0	29	
0	0	0	0.00128317	10	0	29	
0	0	0	0.0013001	10	0	29	
0	0	0	0.00243187	19	0	56	
0	0	0	0.002563	20	0	59	
0	0	0	0.00141191	11	0	32	
0	0	0	0.00139809	11	0	32	
0	0	0	0.00112605	9	0	26	
0	0	0	0.000873804	7	0	20	
0	0	0	0.000954866	7	0	20	
0	0	0	0.000675917	5	0	14	
0	0	0	0.00113201	9	0	26	
0	0	0	0.000398159	3	0	8	
0	0	0	0.00185704	14	0	41	
0	0	0	0.00103092	8	0	23	
0	0	0	0.00274801	21	0	62	
0	0	0	0.00127387	10	0	29	
0	0	0	0.00190592	15	0	44	
0	0	0	0.000751972	6	0	17	
0	0	0	0.00274897	21	0	62	
0	0	0	0.00114298	9	0	26	
0	0	0	0.0012548	10	0	29	
0	0	0	0.00120306	9	0	26	
0	0	0	0.00119114	9	0	26	
0	0	0	0.000730991	6	0	17	
0	0	0	0.00361609	28	0	83	
0	0	0	0.000625134	5	0	14	
0	0	0	0.000962973	8	0	23	
0	0	0	0.000761986	6	0	17	
0	0	0	0.00240207	19	0	56	
0	0	0	0.00114703	9	0	26	
0	0	0	0.000984907	8	0	23	
0	0	0	0.00135183	11	0	32	
0	0	0	0.00100708	8	0	23	
0	0	0	0.00168085	13	0	38	
0	0	0	0.00194311	15	0	44	
0	0	0	0.00270796	21	0	62	
0	0	0	0.00162506	12	0	35	
0	0	0	0.0018208	14	0	41	
0	0	0	0.00156903	12	0	35	
0	0	0	0.00208497	16	0	47	
0	0	0	0.00140309	11	0	32	
0	0	0	0.00225687	17	0	50	
0	0	0	0.00157809	12	0	35	
0	0	0	0.00217891	17	0	50	
0	0	0	0.00139594	11	0	32	
0	0	0	0.00268006	21	0	62	
0	0	0	0.00195098	15	0	44	
0	0	0	0.00116611	9	0	26	
0	0	0	0.00194693	15	0	44	
0	0	0	0.00227904	18	0	53	
0	0	0	0.00148106	11	0	32	
0	0	0	0.000857115	7	0	20	
0	0	0	0.00206208	16	0	47	
0	0	0	0.00206685	16	0	47	
0	0	0	0.00385094	30	0	89	
0	0	0	0.000890017	7	0	20	
0	0	0	0.00187302	15	0	44	
0	0	0	0.00100708	8	0	23	
0	0	0	0.00135589	11	0	32	
0	0	0	0.00105691	8	0	23	
0	0	0	0.000907898	7	0	20	
0	0	0	0.00141597	11	0	32	
0	0	0	0.000984907	8	0	23	
0	0	0	0.00164795	13	0	38	
0	0	0	0.00242186	19	0	56	
0	0	0	0.00137496	11	0	32	
0	0	0	0.00317216	25	0	74	
0	0	0	0.000760078	6	0	17	
0	0	0	0.0015111	12	0	35	
0	0	0	0.00159502	12	0	35	
0	0	0	0.00168705	13	0	38	
0	0	0	0.00245309	19	0	56	
0	0	0	0.00167012	13	0	38	
0	0	0	0.0016799	13	0	38	
0	0	0	0.00263691	20	0	59	
0	0	0	0.00102186	8	0	23	
0	0	0	0.00282502	22	0	65	
0	0	0	0.00109792	9	0	26	
0	0	0	0.00230193	18	0	53	
0	0	0	0.00152111	12	0	35	
0	0	0	0.00111699	9	0	26	
0	0	0	0.000852823	7	0	20	
0	0	0	0.00199008	16	0	47	
0	0	0	0.000761032	6	0	17	
0	0	0	0.00244093	19	0	56	
0	0	0	0.000757933	6	0	17	
0	0	0	0.000873804	7	0	20	
0	0	0	0.0028491	22	0	65	
0	0	0	0.00120401	9	0	26	
0	0	0	0.000638962	5	0	14	
0	0	0	0.00233388	18	0	53	
0	0	0	0.00154209	12	0	35	
0	0	0	0.00140786	11	0	32	
0	0	0	0.0024209	19	0	56	
0	0	0	0.00101304	8	0	23	
0	0	0	0.00100589	8	0	23	
0	0	0	0.000912905	7	0	20	
0	0	0	0.00087595	7	0	20	
0	0	0	0.00270915	21	0	62	
0	0	0	0.00113988	9	0	26	
0	0	0	0.00213814	16	0	47	
0	0	0	0.00144887	11	0	32	
0	0	0	0.00261593	20	0	59	
0	0	0	0.00209308	16	0	47	
0	0	0	0.002316	18	0	53	
0	0	0	0.00318813	25	0	74	
0	0	0	0.00138593	11	0	32	
0	0	0	0.001194	9	0	26	
0	0	0	0.00210404	16	0	47	
