PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.0134079	8	0	177	
0	0	0	0.0705519	40	0	945	
0	0	0	0.054729	31	0	729	
0	0	0	0.061393	35	0	825	
0	0	0	0.0450301	26	0	609	
0	0	0	0.0285399	17	0	393	
0	0	0	0.0509171	30	0	705	
0	0	0	0.00892901	6	0	129	
0	0	0	0.0108171	7	0	153	
0	0	0	0.0628819	36	0	849	
0	0	0	0.0428791	25	0	585	
0	0	0	0.027215	16	0	369	
0	0	0	0.028578	17	0	393	
0	0	0	0.048147	28	0	657	
0	0	0	0.073005	42	0	993	
0	0	0	0.0251939	15	0	345	
0	0	0	0.0218871	13	0	297	
0	0	0	0.0125232	8	0	177	
0	0	0	0.039233	23	0	537	
0	0	0	0.0572469	33	0	777	
0	0	0	0.0142651	9	0	201	
0	0	0	0.062659	37	0	873	
0	0	0	0.048141	28	0	657	
0	0	0	0.0409212	24	0	561	
0	0	0	0.0445321	26	0	609	
0	0	0	0.021873	13	0	297	
0	0	0	0.0486929	28	0	657	
0	0	0	0.0381179	22	0	513	
0	0	0	0.0199151	12	0	273	
0	0	0	0.00538588	4	0	81	
0	0	0	0.037394	22	0	513	
0	0	0	0.082375	47	0	1113	
0	0	0	0.00731492	5	0	105	
0	0	0	0.0409789	24	0	561	
0	0	0	0.0484691	28	0	657	
0	0	0	0.041481	24	0	561	
0	0	0	0.0288188	17	0	393	
0	0	0	0.0288079	17	0	393	
0	0	0	0.066746	38	0	897	
0	0	0	0.035851	21	0	489	
0	0	0	0.057482	33	0	777	
0	0	0	0.025486	15	0	345	
0	0	0	0.0599229	34	0	801	
0	0	0	0.019733	12	0	273	
0	0	0	0.0192859	12	0	273	
0	0	0	0.062696	36	0	849	
0	0	0	0.0519879	30	0	705	
0	0	0	0.0537219	31	0	729	
0	0	0	0.0302851	18	0	417	
0	0	0	0.00716805	5	0	105	
0	0	0	0.025214	15	0	345	
0	0	0	0.0376959	22	0	513	
0	0	0	0.0450311	26	0	609	
0	0	0	0.0267229	16	0	369	
0	0	0	0.043185	25	0	585	
0	0	0	0.08413	48	0	1137	
0	0	0	0.0486119	28	0	657	
0	0	0	0.048208	28	0	657	
0	0	0	0.0126448	8	0	177	
0	0	0	0.0395939	23	0	537	
0	0	0	0.0410872	24	0	561	
0	0	0	0.030942	18	0	417	
0	0	0	0.0305049	18	0	417	
0	0	0	0.0433609	25	0	585	
0	0	0	0.0595078	34	0	801	
0	0	0	0.03248	19	0	441	
0	0	0	0.0464849	27	0	633	
0	0	0	0.048372	28	0	657	
0	0	0	0.059186	34	0	801	
0	0	0	0.066237	38	0	897	
0	0	0	0.021781	13	0	297	
0	0	0	0.0233998	14	0	321	
0	0	0	0.0393991	23	0	537	
0	0	0	0.048141	28	0	657	
0	0	0	0.00907397	6	0	129	
0	0	0	0.044868	26	0	609	
0	0	0	0.026998	16	0	369	
0	0	0	0.057168	33	0	777	
0	0	0	0.023643	14	0	321	
0	0	0	0.044805	26	0	609	
0	0	0	0.026643	16	0	369	
0	0	0	0.02701	16	0	369	
0	0	0	0.0428901	25	0	585	
0	0	0	0.033813	20	0	465	
0	0	0	0.072103	41	0	969	
0	0	0	0.0377321	22	0	513	
0	0	0	0.0449281	26	0	609	
0	0	0	0.051285	30	0	705	
0	0	0	0.0126441	8	0	177	
0	0	0	0.0019381	2	0	33	
0	0	0	0.032177	19	0	441	
0	0	0	0.0433731	25	0	585	
0	0	0	0.0576251	33	0	777	
0	0	0	0.034054	20	0	465	
0	0	0	0.055733	32	0	753	
0	0	0	0.0483301	28	0	657	
0	0	0	0.055548	32	0	753	
0	0	0	0.0571969	33	0	777	
0	0	0	0.056987	33	0	777	
0	0	0	0.0144012	9	0	201	
0	0	0	0.0125439	8	0	177	
0	0	0	0.0392768	23	0	537	
0	0	0	0.0354919	21	0	489	
0	0	0	0.0681391	39	0	921	
0	0	0	0.0449641	26	0	609	
0	0	0	0.0333891	20	0	465	
0	0	0	0.0637901	37	0	873	
0	0	0	0.0431919	25	0	585	
0	0	0	0.0935459	53	0	1257	
0	0	0	0.039505	23	0	537	
0	0	0	0.05829	34	0	801	
0	0	0	0.0180302	11	0	249	
0	0	0	0.0813329	46	0	1089	
0	0	0	0.041589	24	0	561	
0	0	0	0.0466559	27	0	633	
0	0	0	0.0952539	55	0	1305	
0	0	0	0.044904	26	0	609	
0	0	0	0.0534971	31	0	729	
0	0	0	0.0448551	26	0	609	
0	0	0	0.0233412	14	0	321	
0	0	0	0.03583	21	0	489	
0	0	0	0.035522	21	0	489	
0	0	0	0.0287631	17	0	393	
0	0	0	0.0625429	36	0	849	
0	0	0	0.025048	15	0	345	
0	0	0	0.028559	17	0	393	
0	0	0	0.0523372	30	0	705	
0	0	0	0.0252171	15	0	345	
0	0	0	0.0183709	11	0	249	
0	0	0	0.034411	20	0	465	
0	0	0	0.0558939	31	0	729	
0	0	0	0.0295379	17	0	393	
