PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.018194	66	0	197	
0	0	0	0.012938	73	0	218	
0	0	0	0.0037899	22	0	65	
0	0	0	0.00568104	33	0	98	
0	0	0	0.003232	19	0	56	
0	0	0	0.00264192	16	0	47	
0	0	0	0.00766611	44	0	131	
0	0	0	0.000995874	6	0	17	
0	0	0	0.00350404	21	0	62	
0	0	0	0.00541806	32	0	95	
0	0	0	0.004426	26	0	77	
0	0	0	0.0044241	26	0	77	
0	0	0	0.00955009	55	0	164	
0	0	0	0.0024178	14	0	41	
0	0	0	0.00842118	49	0	146	
0	0	0	0.00687099	40	0	119	
0	0	0	0.00621104	37	0	110	
0	0	0	0.01126	66	0	197	
0	0	0	0.00468397	27	0	80	
0	0	0	0.00668597	39	0	116	
0	0	0	0.00545001	32	0	95	
0	0	0	0.0019722	12	0	35	
0	0	0	0.00252295	15	0	44	
0	0	0	0.00675797	40	0	119	
0	0	0	0.00319982	18	0	53	
0	0	0	0.00299788	18	0	53	
0	0	0	0.00247502	15	0	44	
0	0	0	0.00687718	41	0	122	
0	0	0	0.00220799	13	0	38	
0	0	0	0.00485802	29	0	86	
0	0	0	0.0047369	28	0	83	
0	0	0	0.00303888	18	0	53	
0	0	0	0.009799	57	0	170	
0	0	0	0.0040071	23	0	68	
0	0	0	0.00127912	8	0	23	
0	0	0	0.00282598	17	0	50	
0	0	0	0.00659013	36	0	107	
0	0	0	0.00858498	50	0	149	
0	0	0	0.00464916	27	0	80	
0	0	0	0.00230813	14	0	41	
0	0	0	0.00742197	43	0	128	
0	0	0	0.00370097	22	0	65	
0	0	0	0.00876522	51	0	152	
0	0	0	0.00570297	33	0	98	
0	0	0	0.00501418	29	0	86	
0	0	0	0.0074122	43	0	128	
0	0	0	0.00696802	38	0	113	
0	0	0	0.00483799	28	0	83	
0	0	0	0.00639677	35	0	104	
0	0	0	0.00565004	32	0	95	
0	0	0	0.00220299	13	0	38	
0	0	0	0.00161004	10	0	29	
0	0	0	0.00958395	55	0	164	
0	0	0	0.00639606	37	0	110	
0	0	0	0.000790119	4	0	11	
0	0	0	0.00734401	42	0	125	
0	0	0	0.00189614	11	0	32	
0	0	0	0.00572896	34	0	101	
0	0	0	0.0110512	65	0	194	
0	0	0	0.00487399	28	0	83	
0	0	0	0.000467062	3	0	8	
0	0	0	0.00402021	23	0	68	
0	0	0	0.00380301	22	0	65	
0	0	0	0.00250387	15	0	44	
0	0	0	0.00255609	15	0	44	
0	0	0	0.00393295	23	0	68	
0	0	0	0.00411296	24	0	71	
0	0	0	0.00408387	24	0	71	
0	0	0	0.00714493	42	0	125	
0	0	0	0.00117493	7	0	20	
0	0	0	0.0105131	61	0	182	
0	0	0	0.00530505	31	0	92	
0	0	0	0.00379205	22	0	65	
0	0	0	0.00116706	7	0	20	
0	0	0	0.00371599	22	0	65	
0	0	0	0.00382113	22	0	65	
0	0	0	0.00824594	48	0	143	
0	0	0	0.00793505	47	0	140	
0	0	0	0.00577617	34	0	101	
0	0	0	0.00226092	13	0	38	
0	0	0	0.00162792	10	0	29	
0	0	0	0.00180984	11	0	32	
0	0	0	0.00161982	10	0	29	
0	0	0	0.00880694	27	0	80	
0	0	0	0.0107889	37	0	110	
0	0	0	0.0113659	61	0	182	
0	0	0	0.00620198	34	0	101	
0	0	0	0.00413704	24	0	71	
0	0	0	0.011734	68	0	203	
0	0	0	0.00639391	37	0	110	
0	0	0	0.000537872	3	0	8	
0	0	0	0.00353003	21	0	62	
0	0	0	0.010138	59	0	176	
0	0	0	0.00406003	23	0	68	
0	0	0	0.00995398	59	0	176	
0	0	0	0.00759101	44	0	131	
0	0	0	0.011735	66	0	197	
0	0	0	0.00129199	7	0	20	
0	0	0	0.00383496	23	0	68	
0	0	0	0.00252295	15	0	44	
0	0	0	0.00735688	44	0	131	
0	0	0	0.00628304	36	0	107	
0	0	0	0.00422215	25	0	74	
0	0	0	0.00919294	53	0	158	
0	0	0	0.0101879	59	0	176	
0	0	0	0.00684094	40	0	119	
0	0	0	0.0034399	20	0	59	
0	0	0	0.00265193	16	0	47	
0	0	0	0.00898194	52	0	155	
0	0	0	0.000491858	3	0	8	
0	0	0	0.00824094	49	0	146	
0	0	0	0.00650811	38	0	113	
0	0	0	0.00635219	37	0	110	
0	0	0	0.0162902	95	0	284	
0	0	0	0.00603104	34	0	101	
0	0	0	0.00443721	25	0	74	
0	0	0	0.00753188	44	0	131	
0	0	0	0.00710583	41	0	122	
0	0	0	0.00907493	52	0	155	
0	0	0	0.00576496	34	0	101	
0	0	0	0.0107119	62	0	185	
0	0	0	0.00820994	48	0	143	
0	0	0	0.0057199	33	0	98	
0	0	0	0.000827074	5	0	14	
0	0	0	0.0109801	64	0	191	
0	0	0	0.011075	64	0	191	
0	0	0	0.00696993	38	0	113	
0	0	0	0.00927997	54	0	161	
0	0	0	0.00547981	32	0	95	
0	0	0	0.00959992	56	0	167	
0	0	0	0.00474	28	0	83	
0	0	0	0.0104051	60	0	179	
0	0	0	0.00712204	41	0	122	
