PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.025074	26	0	77	
0	0	0	0.00710607	8	0	23	
0	0	0	0.000547171	1	0	2	
0	0	0	0.00525022	6	0	17	
0	0	0	0.00812793	9	0	26	
0	0	0	0.022949	25	0	74	
0	0	0	0.024519	27	0	80	
0	0	0	0.012392	14	0	41	
0	0	0	0.020858	23	0	68	
0	0	0	0.0135062	15	0	44	
0	0	0	0.0185361	20	0	59	
0	0	0	0.00162697	2	0	5	
0	0	0	0.00425196	5	0	14	
0	0	0	0.00508809	6	0	17	
0	0	0	0.00501394	6	0	17	
0	0	0	0.01583	17	0	50	
0	0	0	0.0128989	14	0	41	
0	0	0	0.020628	22	0	65	
0	0	0	0.00985003	11	0	32	
0	0	0	0.014858	16	0	47	
0	0	0	0.0205109	22	0	65	
0	0	0	0.013725	15	0	44	
0	0	0	0.0200059	22	0	65	
0	0	0	0.0150261	17	0	50	
0	0	0	0.015949	18	0	53	
0	0	0	0.0255299	28	0	83	
0	0	0	0.0114441	13	0	38	
0	0	0	0.0161939	18	0	53	
0	0	0	0.014791	16	0	47	
0	0	0	0.00972414	11	0	32	
0	0	0	0.0249	27	0	80	
0	0	0	0.010514	11	0	32	
0	0	0	0.030473	32	0	95	
0	0	0	0.00422597	5	0	14	
0	0	0	0.00616717	7	0	20	
0	0	0	0.0127749	14	0	41	
0	0	0	0.0141461	16	0	47	
0	0	0	0.00788498	9	0	26	
0	0	0	0.0134399	15	0	44	
0	0	0	0.023972	26	0	77	
0	0	0	0.00780988	9	0	26	
0	0	0	0.0222211	24	0	71	
0	0	0	0.011518	13	0	38	
0	0	0	0.013242	15	0	44	
0	0	0	0.029644	32	0	95	
0	0	0	0.010689	12	0	35	
0	0	0	0.00522304	6	0	17	
0	0	0	0.00244498	3	0	8	
0	0	0	0.00866795	10	0	29	
0	0	0	0.00806999	9	0	26	
0	0	0	0.019269	21	0	62	
0	0	0	0.0250721	27	0	80	
0	0	0	0.0176361	19	0	56	
0	0	0	0.009902	11	0	32	
0	0	0	0.014396	16	0	47	
0	0	0	0.0241301	26	0	77	
0	0	0	0.0114651	13	0	38	
0	0	0	0.013726	15	0	44	
0	0	0	0.0126531	14	0	41	
0	0	0	0.011698	13	0	38	
0	0	0	0.00990915	11	0	32	
0	0	0	0.016314	18	0	53	
0	0	0	0.000559092	1	0	2	
0	0	0	0.012306	13	0	38	
0	0	0	0.00693107	8	0	23	
0	0	0	0.00880003	10	0	29	
0	0	0	0.0107791	12	0	35	
0	0	0	0.028646	31	0	92	
0	0	0	0.0192001	21	0	62	
