PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.00461602	17	0	50	
0	0	0	0.00883102	37	0	110	
0	0	0	0.00552893	23	0	68	
0	0	0	0.00380707	16	0	47	
0	0	0	0.00554991	23	0	68	
0	0	0	0.00355291	15	0	44	
0	0	0	0.00177097	8	0	23	
0	0	0	0.00349188	15	0	44	
0	0	0	0.00478005	20	0	59	
0	0	0	0.00595498	25	0	74	
0	0	0	0.00430393	18	0	53	
0	0	0	0.00631499	26	0	77	
0	0	0	0.00286508	12	0	35	
0	0	0	0.006675	28	0	83	
0	0	0	0.00646591	26	0	77	
0	0	0	0.00338411	14	0	41	
0	0	0	0.00311208	13	0	38	
0	0	0	0.00138903	6	0	17	
0	0	0	0.00314188	13	0	38	
0	0	0	0.00472522	20	0	59	
0	0	0	0.00472689	20	0	59	
0	0	0	0.00312304	12	0	35	
0	0	0	0.00664306	27	0	80	
0	0	0	0.0031321	13	0	38	
0	0	0	0.00379682	16	0	47	
0	0	0	0.00405908	17	0	50	
0	0	0	0.00836301	34	0	101	
0	0	0	0.0105228	31	0	92	
0	0	0	0.00651097	26	0	77	
0	0	0	0.00922108	37	0	110	
0	0	0	0.00176311	7	0	20	
0	0	0	0.00147581	6	0	17	
0	0	0	0.00163293	7	0	20	
0	0	0	0.011713	44	0	131	
0	0	0	0.00768709	25	0	74	
0	0	0	0.00444198	14	0	41	
0	0	0	0.00464392	15	0	44	
0	0	0	0.00843	27	0	80	
0	0	0	0.00384784	15	0	44	
0	0	0	0.00350881	14	0	41	
0	0	0	0.00466299	14	0	41	
0	0	0	0.00595188	14	0	41	
0	0	0	0.013499	42	0	125	
0	0	0	0.00552201	18	0	53	
0	0	0	0.00964189	31	0	92	
0	0	0	0.014864	44	0	131	
0	0	0	0.0042119	12	0	35	
0	0	0	0.00705099	21	0	62	
0	0	0	0.00121903	4	0	11	
0	0	0	0.0113702	35	0	104	
0	0	0	0.00504899	16	0	47	
0	0	0	0.00360703	12	0	35	
0	0	0	0.00847292	28	0	83	
0	0	0	0.010052	34	0	101	
0	0	0	0.00774598	27	0	80	
0	0	0	0.0129399	47	0	140	
0	0	0	0.00163293	6	0	17	
0	0	0	0.00883102	33	0	98	
0	0	0	0.0050571	19	0	56	
0	0	0	0.00478697	17	0	50	
0	0	0	0.0108762	41	0	122	
0	0	0	0.00598907	23	0	68	
0	0	0	0.00340509	13	0	38	
0	0	0	0.00146794	6	0	17	
0	0	0	0.00634098	25	0	74	
0	0	0	0.0108941	43	0	128	
0	0	0	0.00554705	22	0	65	
0	0	0	0.00572515	23	0	68	
0	0	0	0.00361705	14	0	41	
0	0	0	0.00808597	33	0	98	
0	0	0	0.00788188	32	0	95	
0	0	0	0.00236511	10	0	29	
0	0	0	0.00288987	12	0	35	
0	0	0	0.00355291	15	0	44	
0	0	0	0.00577807	24	0	71	
0	0	0	0.00627017	26	0	77	
0	0	0	0.00615382	25	0	74	
0	0	0	0.00348902	14	0	41	
0	0	0	0.00605798	25	0	74	
0	0	0	0.00649714	27	0	80	
0	0	0	0.00413394	17	0	50	
0	0	0	0.00556207	23	0	68	
0	0	0	0.00363183	15	0	44	
0	0	0	0.00572515	24	0	71	
0	0	0	0.00395799	17	0	50	
0	0	0	0.00796294	34	0	101	
0	0	0	0.00725985	30	0	89	
0	0	0	0.00345516	15	0	44	
0	0	0	0.00301003	13	0	38	
0	0	0	0.00463295	20	0	59	
0	0	0	0.00595498	25	0	74	
0	0	0	0.00574899	24	0	71	
0	0	0	0.00516319	22	0	65	
0	0	0	0.00663877	28	0	83	
0	0	0	0.00513697	22	0	65	
0	0	0	0.00577307	24	0	71	
0	0	0	0.00838614	35	0	104	
0	0	0	0.00669718	28	0	83	
0	0	0	0.00566196	24	0	71	
0	0	0	0.00770521	32	0	95	
0	0	0	0.00686002	28	0	83	
0	0	0	0.00429821	18	0	53	
0	0	0	0.00393701	17	0	50	
0	0	0	0.00227213	9	0	26	
0	0	0	0.0120151	49	0	146	
0	0	0	0.00714517	30	0	89	
0	0	0	0.006459	27	0	80	
0	0	0	0.0045979	20	0	59	
0	0	0	0.002491	11	0	32	
0	0	0	0.00620914	26	0	77	
0	0	0	0.00365281	15	0	44	
0	0	0	0.00741315	31	0	92	
0	0	0	0.010988	46	0	137	
0	0	0	0.00406003	17	0	50	
0	0	0	0.00795412	33	0	98	
0	0	0	0.00537896	22	0	65	
0	0	0	0.00526309	21	0	62	
0	0	0	0.00701404	29	0	86	
0	0	0	0.00625396	26	0	77	
0	0	0	0.00446105	19	0	56	
0	0	0	0.00405407	17	0	50	
0	0	0	0.00274491	12	0	35	
0	0	0	0.00284815	12	0	35	
0	0	0	0.00793219	33	0	98	
0	0	0	0.00562692	22	0	65	
0	0	0	0.011554	48	0	143	
0	0	0	0.00737596	31	0	92	
0	0	0	0.00419593	18	0	53	
0	0	0	0.00892997	37	0	110	
0	0	0	0.00496912	21	0	62	
0	0	0	0.00111222	5	0	14	
0	0	0	0.00561213	22	0	65	
0	0	0	0.0110991	46	0	137	
0	0	0	0.0077939	32	0	95	
0	0	0	0.0115261	49	0	146	
0	0	0	0.0041821	16	0	47	
0	0	0	0.00204802	9	0	26	
0	0	0	0.00675702	28	0	83	
0	0	0	0.00822711	34	0	101	
0	0	0	0.00732493	31	0	92	
0	0	0	0.00658894	28	0	83	
0	0	0	0.010941	45	0	134	
0	0	0	0.0101209	41	0	122	
0	0	0	0.00232005	10	0	29	
0	0	0	0.00871491	37	0	110	
0	0	0	0.0042541	18	0	53	
0	0	0	0.00558901	24	0	71	
0	0	0	0.000842094	4	0	11	
0	0	0	0.00646114	27	0	80	
0	0	0	0.00110197	5	0	14	
0	0	0	0.00475097	20	0	59	
0	0	0	0.0132301	55	0	164	
0	0	0	0.00936198	40	0	119	
0	0	0	0.00530195	22	0	65	
0	0	0	0.00499797	21	0	62	
0	0	0	0.00567889	25	0	74	
0	0	0	0.00181389	8	0	23	
0	0	0	0.010479	45	0	134	
0	0	0	0.00547099	23	0	68	
0	0	0	0.00559592	23	0	68	
0	0	0	0.00463581	19	0	56	
0	0	0	0.00934887	38	0	113	
0	0	0	0.00794005	32	0	95	
0	0	0	0.00608611	26	0	77	
0	0	0	0.0120752	52	0	155	
0	0	0	0.00370312	16	0	47	
0	0	0	0.00916386	40	0	119	
0	0	0	0.00322199	14	0	41	
0	0	0	0.00522208	22	0	65	
0	0	0	0.00160623	7	0	20	
0	0	0	0.00988698	43	0	128	
0	0	0	0.00469398	20	0	59	
0	0	0	0.0113449	49	0	146	
0	0	0	0.0048039	21	0	62	
0	0	0	0.00195312	8	0	23	
0	0	0	0.00377107	16	0	47	
0	0	0	0.00924301	39	0	116	
0	0	0	0.005198	22	0	65	
0	0	0	0.00376201	16	0	47	
0	0	0	0.00423288	18	0	53	
0	0	0	0.00678396	28	0	83	
