PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.0024569	14	0	41	
0	0	0	0.00205994	18	0	53	
0	0	0	0.00429416	39	0	116	
0	0	0	0.00129008	12	0	35	
0	0	0	0.000602007	6	0	17	
0	0	0	0.00209904	21	0	62	
0	0	0	0.00127816	12	0	35	
0	0	0	0.000896215	9	0	26	
0	0	0	0.00226593	22	0	65	
0	0	0	0.000723124	7	0	20	
0	0	0	0.00120592	12	0	35	
0	0	0	0.00069499	7	0	20	
0	0	0	0.00218987	20	0	59	
0	0	0	0.00182509	17	0	50	
0	0	0	0.00198889	19	0	56	
0	0	0	0.00197887	19	0	56	
0	0	0	0.0018959	18	0	53	
0	0	0	0.00178003	17	0	50	
0	0	0	0.00121498	11	0	32	
0	0	0	0.00251293	24	0	71	
0	0	0	0.00201297	19	0	56	
0	0	0	0.00228596	21	0	62	
0	0	0	0.00160503	15	0	44	
0	0	0	0.00211787	20	0	59	
0	0	0	0.001652	16	0	47	
0	0	0	0.000714779	7	0	20	
0	0	0	0.00169587	16	0	47	
0	0	0	0.000810862	8	0	23	
0	0	0	0.00187898	18	0	53	
0	0	0	0.00070405	7	0	20	
0	0	0	0.00161409	16	0	47	
0	0	0	0.000494003	5	0	14	
0	0	0	0.00367689	34	0	101	
0	0	0	0.0030551	28	0	83	
0	0	0	0.00236487	22	0	65	
0	0	0	0.00155091	15	0	44	
0	0	0	0.000887156	9	0	26	
0	0	0	0.00223899	22	0	65	
0	0	0	0.0027051	25	0	74	
0	0	0	0.000854015	8	0	23	
0	0	0	0.00171804	15	0	44	
0	0	0	0.00257897	23	0	68	
0	0	0	0.00239992	21	0	62	
0	0	0	0.00119996	11	0	32	
0	0	0	0.00110698	10	0	29	
0	0	0	0.00370812	36	0	107	
0	0	0	0.0010519	10	0	29	
0	0	0	0.00281906	26	0	77	
0	0	0	0.000653982	6	0	17	
0	0	0	0.000951767	9	0	26	
0	0	0	0.0028019	26	0	77	
0	0	0	0.000744104	7	0	20	
0	0	0	0.00120091	12	0	35	
0	0	0	0.000731945	7	0	20	
0	0	0	0.000933886	9	0	26	
0	0	0	0.00178695	17	0	50	
0	0	0	0.00207901	19	0	56	
0	0	0	0.00182891	17	0	50	
0	0	0	0.00238395	22	0	65	
0	0	0	0.00107408	10	0	29	
0	0	0	0.00278902	26	0	77	
0	0	0	0.00392294	37	0	110	
0	0	0	0.00289989	28	0	83	
0	0	0	0.00115204	11	0	32	
0	0	0	0.00156403	15	0	44	
0	0	0	0.00279403	26	0	77	
0	0	0	0.002388	22	0	65	
0	0	0	0.00234604	22	0	65	
0	0	0	0.000197887	2	0	5	
0	0	0	0.00209904	20	0	59	
0	0	0	0.000535011	5	0	14	
0	0	0	0.000390053	4	0	11	
0	0	0	0.0026989	25	0	74	
0	0	0	0.00100589	10	0	29	
0	0	0	0.00133801	13	0	38	
0	0	0	0.00139308	12	0	35	
0	0	0	0.000568151	5	0	14	
0	0	0	0.000952959	9	0	26	
0	0	0	0.000640869	6	0	17	
0	0	0	0.00127101	12	0	35	
0	0	0	0.00225306	21	0	62	
0	0	0	0.00182605	17	0	50	
0	0	0	0.00112295	11	0	32	
0	0	0	0.000717878	7	0	20	
0	0	0	0.00137091	13	0	38	
0	0	0	0.002069	19	0	56	
0	0	0	0.0021739	21	0	62	
0	0	0	0.000511885	5	0	14	
0	0	0	0.000779867	7	0	20	
0	0	0	0.0024879	23	0	68	
0	0	0	0.00159788	15	0	44	
0	0	0	0.00235605	21	0	62	
0	0	0	0.0020721	17	0	50	
0	0	0	0.00273395	25	0	74	
0	0	0	0.00138187	13	0	38	
0	0	0	0.00194502	18	0	53	
0	0	0	0.00139499	13	0	38	
0	0	0	0.00168586	16	0	47	
0	0	0	0.00138712	13	0	38	
0	0	0	0.0011251	11	0	32	
0	0	0	0.00119996	11	0	32	
0	0	0	0.00168705	16	0	47	
0	0	0	0.000957966	9	0	26	
0	0	0	0.000687838	7	0	20	
0	0	0	0.00184298	18	0	53	
0	0	0	0.000940084	8	0	23	
0	0	0	0.000874996	8	0	23	
0	0	0	0.00162911	15	0	44	
0	0	0	0.00177312	17	0	50	
0	0	0	0.00231814	22	0	65	
0	0	0	0.0011611	11	0	32	
0	0	0	0.00163817	16	0	47	
0	0	0	0.000666857	6	0	17	
0	0	0	0.00113487	9	0	26	
0	0	0	0.000967979	9	0	26	
0	0	0	0.0009799	9	0	26	
0	0	0	0.000637054	6	0	17	
0	0	0	0.00178218	16	0	47	
0	0	0	0.00136304	12	0	35	
0	0	0	0.000643969	6	0	17	
0	0	0	0.00116205	11	0	32	
0	0	0	0.000848055	7	0	20	
0	0	0	0.00180817	17	0	50	
0	0	0	0.00115085	11	0	32	
0	0	0	0.00118399	11	0	32	
0	0	0	0.00117803	11	0	32	
0	0	0	0.00119901	12	0	35	
0	0	0	0.000380039	4	0	11	
0	0	0	0.00257397	24	0	71	
0	0	0	0.00190401	18	0	53	
0	0	0	0.00198984	18	0	53	
0	0	0	0.000946045	9	0	26	
0	0	0	0.00177407	16	0	47	
0	0	0	0.00132799	13	0	38	
0	0	0	0.00116205	11	0	32	
0	0	0	0.00177598	16	0	47	
0	0	0	0.00317097	30	0	89	
0	0	0	0.00129104	12	0	35	
0	0	0	0.00199389	19	0	56	
0	0	0	0.00140285	13	0	38	
0	0	0	0.00259805	25	0	74	
0	0	0	0.00286698	26	0	77	
0	0	0	0.00118208	11	0	32	
0	0	0	0.00127983	12	0	35	
0	0	0	0.00153494	15	0	44	
0	0	0	0.00209999	18	0	53	
0	0	0	0.00117993	11	0	32	
0	0	0	0.00394106	37	0	110	
0	0	0	0.000954151	9	0	26	
0	0	0	0.00206709	20	0	59	
0	0	0	0.00230694	21	0	62	
0	0	0	0.00159812	14	0	41	
0	0	0	0.00269699	23	0	68	
0	0	0	0.001508	13	0	38	
0	0	0	0.00117087	10	0	29	
0	0	0	0.00148201	12	0	35	
0	0	0	0.00229311	20	0	59	
0	0	0	0.00352597	30	0	89	
0	0	0	0.00205493	17	0	50	
0	0	0	0.002033	17	0	50	
0	0	0	0.00189495	13	0	38	
0	0	0	0.00176501	10	0	29	
0	0	0	0.00295711	19	0	56	
0	0	0	0.00188398	15	0	44	
0	0	0	0.00160384	13	0	38	
0	0	0	0.002352	19	0	56	
0	0	0	0.00304914	22	0	65	
0	0	0	0.00380087	31	0	92	
0	0	0	0.00092411	7	0	20	
0	0	0	0.00205708	14	0	41	
0	0	0	0.00355697	24	0	71	
0	0	0	0.00102592	8	0	23	
0	0	0	0.00177789	12	0	35	
0	0	0	0.00162005	11	0	32	
0	0	0	0.00235581	17	0	50	
0	0	0	0.00176907	13	0	38	
0	0	0	0.00437784	33	0	98	
0	0	0	0.00237703	18	0	53	
0	0	0	0.00141692	11	0	32	
0	0	0	0.00338507	22	0	65	
0	0	0	0.00300789	22	0	65	
0	0	0	0.00221992	15	0	44	
0	0	0	0.00221801	17	0	50	
0	0	0	0.00192499	13	0	38	
0	0	0	0.00231981	17	0	50	
0	0	0	0.00131392	10	0	29	
0	0	0	0.00355411	21	0	62	
0	0	0	0.00213909	14	0	41	
0	0	0	0.00116491	8	0	23	
0	0	0	0.00518203	36	0	107	
0	0	0	0.0024581	18	0	53	
0	0	0	0.00103402	7	0	20	
0	0	0	0.00207782	12	0	35	
0	0	0	0.002074	14	0	41	
0	0	0	0.00232601	16	0	47	
0	0	0	0.00164199	11	0	32	
0	0	0	0.00342393	22	0	65	
0	0	0	0.0031209	22	0	65	
0	0	0	0.00353193	27	0	80	
0	0	0	0.00122094	9	0	26	
0	0	0	0.00465798	31	0	92	
0	0	0	0.00111508	6	0	17	
0	0	0	0.00212193	15	0	44	
0	0	0	0.00489593	31	0	92	
0	0	0	0.00346708	22	0	65	
0	0	0	0.00170088	12	0	35	
0	0	0	0.00563788	37	0	110	
0	0	0	0.00103307	7	0	20	
0	0	0	0.00572586	36	0	107	
0	0	0	0.00573611	35	0	104	
0	0	0	0.004843	34	0	101	
0	0	0	0.006984	46	0	137	
0	0	0	0.00505018	35	0	104	
0	0	0	0.00475717	26	0	77	
0	0	0	0.00654984	32	0	95	
0	0	0	0.00250196	12	0	35	
0	0	0	0.00636601	33	0	98	
0	0	0	0.00204015	15	0	44	
0	0	0	0.000638962	5	0	14	
0	0	0	0.00184584	15	0	44	
0	0	0	0.00526595	41	0	122	
0	0	0	0.00423408	32	0	95	
0	0	0	0.00152802	12	0	35	
0	0	0	0.00508595	42	0	125	
0	0	0	0.0023241	19	0	56	
0	0	0	0.00549507	45	0	134	
0	0	0	0.000617981	5	0	14	
0	0	0	0.00131297	11	0	32	
0	0	0	0.00158191	13	0	38	
0	0	0	0.00162411	14	0	41	
0	0	0	0.0020771	18	0	53	
0	0	0	0.000844955	7	0	20	
0	0	0	0.00221705	19	0	56	
0	0	0	0.00395393	33	0	98	
0	0	0	0.00338817	28	0	83	
0	0	0	0.000818014	7	0	20	
0	0	0	0.00335121	28	0	83	
0	0	0	0.00262594	22	0	65	
0	0	0	0.00127697	11	0	32	
0	0	0	0.00574994	50	0	149	
0	0	0	0.00118613	10	0	29	
0	0	0	0.000993013	9	0	26	
0	0	0	0.00359082	32	0	95	
0	0	0	0.000911951	8	0	23	
0	0	0	0.000567913	5	0	14	
0	0	0	0.00170588	15	0	44	
0	0	0	0.00271916	23	0	68	
0	0	0	0.00326109	28	0	83	
0	0	0	0.000931025	8	0	23	
0	0	0	0.00298595	27	0	80	
0	0	0	0.00424385	37	0	110	
0	0	0	0.00323486	28	0	83	
0	0	0	0.0012188	11	0	32	
0	0	0	0.00108409	10	0	29	
0	0	0	0.00430894	37	0	110	
0	0	0	0.002038	19	0	56	
0	0	0	0.00075388	7	0	20	
0	0	0	0.000880957	8	0	23	
0	0	0	0.00213003	19	0	56	
0	0	0	0.0016439	15	0	44	
0	0	0	0.001436	13	0	38	
0	0	0	0.00303197	28	0	83	
0	0	0	0.00230598	21	0	62	
0	0	0	0.000988007	9	0	26	
0	0	0	0.000780821	6	0	17	
0	0	0	0.000530958	5	0	14	
0	0	0	0.000746012	7	0	20	
0	0	0	0.00355387	33	0	98	
0	0	0	0.0047071	42	0	125	
0	0	0	0.00280619	25	0	74	
0	0	0	0.00212002	19	0	56	
0	0	0	0.00255203	23	0	68	
0	0	0	0.00120497	11	0	32	
0	0	0	0.00219202	20	0	59	
0	0	0	0.00302601	28	0	83	
0	0	0	0.00168896	16	0	47	
0	0	0	0.0028379	26	0	77	
0	0	0	0.00110698	10	0	29	
0	0	0	0.00187302	18	0	53	
0	0	0	0.00105309	10	0	29	
0	0	0	0.00328898	31	0	92	
0	0	0	0.000913143	8	0	23	
0	0	0	0.00277591	25	0	74	
0	0	0	0.00250387	23	0	68	
0	0	0	0.00317621	28	0	83	
0	0	0	0.00285196	26	0	77	
0	0	0	0.00167704	15	0	44	
0	0	0	0.001194	11	0	32	
0	0	0	0.00115895	11	0	32	
0	0	0	0.00238681	22	0	65	
0	0	0	0.00256109	22	0	65	
0	0	0	0.000535965	5	0	14	
0	0	0	0.00150704	14	0	41	
0	0	0	0.00246692	22	0	65	
0	0	0	0.00139499	13	0	38	
0	0	0	0.00151515	14	0	41	
0	0	0	0.000755072	7	0	20	
0	0	0	0.000398874	4	0	11	
0	0	0	0.00185609	18	0	53	
0	0	0	0.00117612	11	0	32	
0	0	0	0.0020678	19	0	56	
0	0	0	0.000209093	2	0	5	
0	0	0	0.00537801	50	0	149	
0	0	0	0.000338078	3	0	8	
0	0	0	0.00145888	13	0	38	
0	0	0	0.00191498	17	0	50	
0	0	0	0.000530005	5	0	14	
