PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.0014751	17	0	50	
0	0	0	0.00121498	15	0	44	
0	0	0	0.00137401	17	0	50	
0	0	0	0.0010469	13	0	38	
0	0	0	0.000901937	12	0	35	
0	0	0	0.00117683	16	0	47	
0	0	0	0.00105	13	0	38	
0	0	0	0.00128293	17	0	50	
0	0	0	0.000459909	6	0	17	
0	0	0	0.00110292	14	0	41	
0	0	0	0.000917912	12	0	35	
0	0	0	0.00100183	14	0	41	
0	0	0	0.00145006	19	0	56	
0	0	0	0.000997782	13	0	38	
0	0	0	0.000736952	10	0	29	
0	0	0	0.000766039	10	0	29	
0	0	0	0.000492096	6	0	17	
0	0	0	0.000925064	12	0	35	
0	0	0	0.00111222	8	0	23	
0	0	0	0.000227928	3	0	8	
0	0	0	0.0003829	5	0	14	
0	0	0	0.000746012	10	0	29	
0	0	0	0.00082016	10	0	29	
0	0	0	0.000870943	11	0	32	
0	0	0	0.0013051	17	0	50	
0	0	0	0.000772953	10	0	29	
0	0	0	0.000967979	12	0	35	
0	0	0	0.001158	14	0	41	
0	0	0	0.00144506	18	0	53	
0	0	0	0.000387907	5	0	14	
0	0	0	0.000455141	6	0	17	
0	0	0	0.00109911	14	0	41	
0	0	0	0.000813007	11	0	32	
0	0	0	0.000458956	6	0	17	
0	0	0	0.000720978	10	0	29	
0	0	0	0.0010891	15	0	44	
0	0	0	0.000586033	7	0	20	
0	0	0	0.000772953	10	0	29	
0	0	0	0.000446081	6	0	17	
0	0	0	0.000930071	12	0	35	
0	0	0	0.000619888	8	0	23	
0	0	0	0.000573158	8	0	23	
0	0	0	0.000872135	11	0	32	
0	0	0	0.00137782	18	0	53	
0	0	0	0.000364065	5	0	14	
0	0	0	0.00159597	19	0	56	
0	0	0	0.00148392	19	0	56	
0	0	0	0.000983953	13	0	38	
0	0	0	0.000977039	13	0	38	
0	0	0	0.000542164	7	0	20	
0	0	0	0.000612974	8	0	23	
0	0	0	0.00100112	13	0	38	
0	0	0	0.000890017	12	0	35	
0	0	0	0.00116611	16	0	47	
0	0	0	0.00102496	14	0	41	
0	0	0	0.000513077	7	0	20	
0	0	0	0.00123191	16	0	47	
0	0	0	0.000585079	8	0	23	
0	0	0	0.000714064	9	0	26	
0	0	0	0.0014472	19	0	56	
0	0	0	0.00135207	18	0	53	
0	0	0	0.00111794	15	0	44	
0	0	0	0.00125408	16	0	47	
