PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.00378203	23	0	68	
0	0	0	0.00296998	19	0	56	
0	0	0	0.00370407	23	0	68	
0	0	0	0.000913858	6	0	17	
0	0	0	0.00089097	6	0	17	
0	0	0	0.00136399	9	0	26	
0	0	0	0.00106192	7	0	20	
0	0	0	0.00121689	8	0	23	
0	0	0	0.00104904	7	0	20	
0	0	0	0.000860929	6	0	17	
0	0	0	0.00133896	9	0	26	
0	0	0	0.00508595	33	0	98	
0	0	0	0.00210118	14	0	41	
0	0	0	0.000555992	4	0	11	
0	0	0	0.000429153	3	0	8	
0	0	0	0.000576973	4	0	11	
0	0	0	0.00148201	10	0	29	
0	0	0	0.000711918	5	0	14	
0	0	0	0.00248599	16	0	47	
0	0	0	0.000859976	6	0	17	
0	0	0	0.00257802	17	0	50	
0	0	0	0.0020411	13	0	38	
0	0	0	0.00167394	10	0	29	
0	0	0	0.00292087	18	0	53	
0	0	0	0.00196004	12	0	35	
0	0	0	0.00299716	19	0	56	
0	0	0	0.00269198	18	0	53	
0	0	0	0.00287604	19	0	56	
0	0	0	0.00186706	12	0	35	
0	0	0	0.00137687	9	0	26	
0	0	0	0.00137186	9	0	26	
0	0	0	0.00180197	12	0	35	
0	0	0	0.00135398	9	0	26	
0	0	0	0.00302815	19	0	56	
0	0	0	0.00171781	11	0	32	
0	0	0	0.0016861	11	0	32	
0	0	0	0.00155091	10	0	29	
0	0	0	0.00057888	4	0	11	
0	0	0	0.00137091	9	0	26	
0	0	0	0.00213099	14	0	41	
0	0	0	0.00211	14	0	41	
0	0	0	0.00223017	15	0	44	
0	0	0	0.0016911	11	0	32	
0	0	0	0.00103998	7	0	20	
0	0	0	0.000727177	5	0	14	
0	0	0	0.000715971	5	0	14	
0	0	0	0.000695944	5	0	14	
0	0	0	0.000715971	5	0	14	
0	0	0	0.0016129	11	0	32	
0	0	0	0.00229907	15	0	44	
0	0	0	0.000910044	6	0	17	
0	0	0	0.000859976	6	0	17	
0	0	0	0.00197697	13	0	38	
0	0	0	0.00192499	13	0	38	
0	0	0	0.00156689	10	0	29	
0	0	0	0.00120592	7	0	20	
0	0	0	0.000715017	5	0	14	
0	0	0	0.00215602	14	0	41	
0	0	0	0.000877142	6	0	17	
0	0	0	0.0022831	15	0	44	
0	0	0	0.00300884	20	0	59	
0	0	0	0.002424	16	0	47	
0	0	0	0.00442696	29	0	86	
0	0	0	0.00120401	8	0	23	
0	0	0	0.00194812	13	0	38	
0	0	0	0.00087595	6	0	17	
0	0	0	0.000400066	3	0	8	
0	0	0	0.00088191	6	0	17	
0	0	0	0.000558138	4	0	11	
0	0	0	0.000952959	6	0	17	
0	0	0	0.00155997	10	0	29	
0	0	0	0.00182605	12	0	35	
0	0	0	0.00277877	18	0	53	
0	0	0	0.00220919	15	0	44	
0	0	0	0.000869989	6	0	17	
0	0	0	0.002738	18	0	53	
0	0	0	0.00290489	19	0	56	
