PREC	RECALL	FSCORE	TIME	LEN	NUNK	NSCORED	
0	0	0	0.00247693	15	0	44	
0	0	0	0.00118399	8	0	23	
0	0	0	0.00145388	10	0	29	
0	0	0	0.0018549	12	0	35	
0	0	0	0.00167799	11	0	32	
0	0	0	0.00366282	23	0	68	
0	0	0	0.00139809	9	0	26	
0	0	0	0.00322413	21	0	62	
0	0	0	0.00152302	10	0	29	
0	0	0	0.001158	8	0	23	
0	0	0	0.000715017	5	0	14	
0	0	0	0.00115514	8	0	23	
0	0	0	0.0016849	11	0	32	
0	0	0	0.00175714	12	0	35	
0	0	0	0.000548124	4	0	11	
0	0	0	0.002069	14	0	41	
0	0	0	0.00613499	39	0	116	
0	0	0	0.00367689	24	0	71	
0	0	0	0.000721931	5	0	14	
0	0	0	0.00222993	15	0	44	
0	0	0	0.00203609	14	0	41	
0	0	0	0.0016191	11	0	32	
0	0	0	0.00197291	14	0	41	
0	0	0	0.001194	8	0	23	
0	0	0	0.00237894	16	0	47	
0	0	0	0.000109911	1	0	2	
0	0	0	0.00150204	10	0	29	
0	0	0	0.000139952	1	0	2	
0	0	0	0.000449896	3	0	8	
0	0	0	0.000398159	3	0	8	
0	0	0	0.000823021	6	0	17	
0	0	0	9.799e-05	1	0	2	
0	0	0	9.20296e-05	1	0	2	
0	0	0	0.000372887	3	0	8	
0	0	0	0.00052619	4	0	11	
0	0	0	0.000675917	5	0	14	
0	0	0	0.00354505	22	0	65	
0	0	0	0.000744104	5	0	14	
0	0	0	0.00118995	8	0	23	
0	0	0	0.00010705	1	0	2	
0	0	0	0.00464606	31	0	92	
0	0	0	0.00102687	7	0	20	
0	0	0	0.00131011	9	0	26	
0	0	0	0.00156593	11	0	32	
0	0	0	0.00278878	19	0	56	
0	0	0	0.00469303	31	0	92	
0	0	0	0.00137711	9	0	26	
0	0	0	0.00456905	30	0	89	
0	0	0	0.00255108	17	0	50	
0	0	0	0.00115013	8	0	23	
0	0	0	0.00402188	27	0	80	
0	0	0	0.00998807	68	0	203	
0	0	0	0.00404501	27	0	80	
0	0	0	0.000865936	6	0	17	
0	0	0	0.00192499	13	0	38	
0	0	0	0.00166202	11	0	32	
0	0	0	0.00335693	22	0	65	
0	0	0	0.00012207	1	0	2	
0	0	0	0.00222898	15	0	44	
0	0	0	0.00113893	8	0	23	
0	0	0	0.00256801	17	0	50	
0	0	0	0.00218415	15	0	44	
0	0	0	0.00250983	17	0	50	
0	0	0	0.000705957	5	0	14	
0	0	0	0.00110602	8	0	23	
0	0	0	0.00100899	7	0	20	
0	0	0	0.00255394	17	0	50	
0	0	0	0.00178194	12	0	35	
0	0	0	0.00222707	15	0	44	
0	0	0	0.00163507	11	0	32	
0	0	0	0.00174999	12	0	35	
0	0	0	0.00208497	14	0	41	
0	0	0	0.000703812	5	0	14	
0	0	0	0.00222898	15	0	44	
0	0	0	0.00261903	18	0	53	
0	0	0	0.00206518	14	0	41	
0	0	0	0.000605106	4	0	11	
0	0	0	0.000542879	4	0	11	
0	0	0	0.00158501	11	0	32	
0	0	0	0.0012939	9	0	26	
0	0	0	0.00282717	19	0	56	
0	0	0	0.00208092	14	0	41	
0	0	0	0.00641298	41	0	122	
0	0	0	0.00243688	16	0	47	
0	0	0	0.00121212	8	0	23	
0	0	0	0.00360894	25	0	74	
0	0	0	0.000277042	2	0	5	
0	0	0	0.002707	18	0	53	
0	0	0	0.0010128	7	0	20	
0	0	0	0.000682831	5	0	14	
0	0	0	0.0049181	32	0	95	
0	0	0	0.00213218	14	0	41	
0	0	0	0.00222182	15	0	44	
0	0	0	0.00257206	17	0	50	
0	0	0	0.00348902	23	0	68	
0	0	0	0.00305009	20	0	59	
0	0	0	0.00236082	16	0	47	
0	0	0	0.00358915	24	0	71	
0	0	0	0.00327492	22	0	65	
0	0	0	0.00161719	11	0	32	
0	0	0	0.00381303	25	0	74	
0	0	0	0.00147295	10	0	29	
0	0	0	0.00231719	16	0	47	
0	0	0	0.00279093	19	0	56	
0	0	0	0.00318384	21	0	62	
0	0	0	0.000879049	6	0	17	
0	0	0	0.00200105	14	0	41	
0	0	0	0.00144601	10	0	29	
0	0	0	0.00380683	25	0	74	
0	0	0	0.00327396	22	0	65	
0	0	0	0.00407195	27	0	80	
0	0	0	0.00313902	21	0	62	
0	0	0	0.00404406	27	0	80	
0	0	0	0.00296903	20	0	59	
0	0	0	0.00435209	29	0	86	
0	0	0	0.00212502	14	0	41	
0	0	0	0.00296307	20	0	59	
0	0	0	0.00239706	16	0	47	
0	0	0	0.00130296	9	0	26	
0	0	0	0.00281906	19	0	56	
0	0	0	0.00435209	29	0	86	
0	0	0	0.00041604	3	0	8	
0	0	0	0.00141811	10	0	29	
0	0	0	0.00192118	13	0	38	
0	0	0	0.00284004	19	0	56	
0	0	0	0.00177383	12	0	35	
0	0	0	0.00132489	9	0	26	
0	0	0	0.00142193	10	0	29	
0	0	0	0.00141907	10	0	29	
0	0	0	0.00239992	16	0	47	
0	0	0	0.00129485	9	0	26	
0	0	0	0.00214005	14	0	41	
0	0	0	0.00159693	11	0	32	
0	0	0	0.00435615	29	0	86	
0	0	0	0.00132489	9	0	26	
0	0	0	0.00311708	21	0	62	
0	0	0	0.00371289	25	0	74	
0	0	0	0.00162101	11	0	32	
0	0	0	0.00220609	15	0	44	
0	0	0	0.00085187	6	0	17	
0	0	0	0.00571108	38	0	113	
0	0	0	0.00348592	23	0	68	
0	0	0	0.00223088	15	0	44	
0	0	0	0.00473905	33	0	98	
0	0	0	0.000891924	6	0	17	
0	0	0	0.00249004	17	0	50	
0	0	0	0.00282097	19	0	56	
0	0	0	0.00261092	18	0	53	
0	0	0	0.00191402	13	0	38	
0	0	0	0.0060339	41	0	122	
0	0	0	0.00264096	17	0	50	
0	0	0	0.00225687	15	0	44	
0	0	0	0.00465798	31	0	92	
0	0	0	0.00134897	9	0	26	
0	0	0	0.00308394	21	0	62	
0	0	0	0.00297499	20	0	59	
0	0	0	0.00072217	5	0	14	
0	0	0	0.00134087	9	0	26	
0	0	0	0.00116611	8	0	23	
0	0	0	0.00447702	30	0	89	
0	0	0	0.00434399	29	0	86	
0	0	0	0.00299716	20	0	59	
0	0	0	0.00302291	20	0	59	
0	0	0	0.00265479	18	0	53	
0	0	0	0.00368214	24	0	71	
0	0	0	0.00133491	9	0	26	
0	0	0	0.00506902	33	0	98	
0	0	0	0.000581026	4	0	11	
0	0	0	0.000904083	6	0	17	
0	0	0	0.00234318	16	0	47	
0	0	0	0.000850201	6	0	17	
0	0	0	0.00145197	10	0	29	
0	0	0	0.001894	13	0	38	
0	0	0	0.0022378	15	0	44	
0	0	0	0.000402927	3	0	8	
0	0	0	0.00233698	16	0	47	
0	0	0	0.00233507	16	0	47	
0	0	0	0.00113606	8	0	23	
0	0	0	0.00257206	18	0	53	
0	0	0	0.00455308	29	0	86	
0	0	0	0.00410914	27	0	80	
0	0	0	0.00296402	20	0	59	
0	0	0	0.00361609	24	0	71	
0	0	0	0.00327301	22	0	65	
0	0	0	0.00387597	26	0	77	
0	0	0	0.00259209	17	0	50	
0	0	0	0.00304008	21	0	62	
0	0	0	0.00421	28	0	83	
0	0	0	0.001616	11	0	32	
0	0	0	0.00303197	21	0	62	
0	0	0	0.000118971	1	0	2	
0	0	0	0.00205302	14	0	41	
0	0	0	0.00280118	19	0	56	
0	0	0	0.00205398	14	0	41	
0	0	0	0.00228095	15	0	44	
0	0	0	0.00206089	14	0	41	
0	0	0	0.002877	19	0	56	
0	0	0	0.00115991	8	0	23	
0	0	0	0.000540018	4	0	11	
0	0	0	0.00282788	19	0	56	
0	0	0	0.00297785	20	0	59	
0	0	0	0.000854015	6	0	17	
0	0	0	0.00144219	10	0	29	
0	0	0	0.0010159	7	0	20	
0	0	0	0.00129914	9	0	26	
0	0	0	0.00261497	18	0	53	
0	0	0	0.00187993	13	0	38	
0	0	0	0.000841856	6	0	17	
0	0	0	9.98974e-05	1	0	2	
0	0	0	9.01222e-05	1	0	2	
0	0	0	0.00233102	16	0	47	
0	0	0	0.000705957	5	0	14	
0	0	0	0.00145411	10	0	29	
0	0	0	0.00280595	19	0	56	
0	0	0	0.0027101	18	0	53	
0	0	0	0.0032239	22	0	65	
